"","abundance.1","abundance.2","abundance.3","abundance.4","abundance.5","abundance.6","counts.1","counts.2","counts.3","counts.4","counts.5","counts.6","length.1","length.2","length.3","length.4","length.5","length.6","countsFromAbundance"
"ENSMUSG00000025040",6.53,4.26,5.26,8.91,10,6.43,95,61,68,80,92,71,1393.81,1318.16,1380.15,889.49,1003.02,1586.2,"no"
"ENSMUSG00000025041",6.24,3.98,6.24,6.7,7.09,7.82,170,152,119,173,150,135,2611.1,3515.28,2036.16,2557.9,2305.53,2477.85,"no"
"ENSMUSG00000025043",0,0,0,0,0,0,0,0,0,0,0,0,772,772,772,772,772,772,"no"
"ENSMUSG00000025044",7.14,5.85,8.33,6.46,9.31,6.61,216,173,193,160,196,121,2901.37,2725.4,2474.35,2454.01,2295.39,2628.7,"no"
"ENSMUSG00000025047",5.8,5.71,5.45,6.02,5.15,4.96,362.78,371.52,305.89,364,283,207,5992,5992,5992,5992,5992,5992,"no"
"ENSMUSG00000025049",1.46,1.26,1.06,0.77,0.68,0.94,49,44,32,25,20,21,3209,3209,3209,3209,3209,3209,"no"
"ENSMUSG00000025050",4.49,4.95,4.74,4.3,4.63,4.48,96,110,91,89,87,64,2049,2049,2049,2049,2049,2049,"no"
"ENSMUSG00000025051",0,0,0,0,0,0,0,0,0,0,0,0,914,914,914,914,914,914,"no"
"ENSMUSG00000025056",0,0,0,0,0,0,0,0,0,0,0,0,1759,1759,1759,1759,1759,1759,"no"
"ENSMUSG00000025058",0.08,0.02,0.03,0.08,0.09,0.04,3,1,1,3,3,1,3705,3705,3705,3705,3705,3705,"no"
"ENSMUSG00000025059",42.02,29.35,28.7,42.47,38.56,45.39,1308.94,1006,933,1225.89,1171.81,1044,2985.75,3157.58,3470.9,2860.43,3311.77,3302,"no"
"ENSMUSG00000025060",12.59,14.15,13.69,11.27,12.77,16.15,617,662,605,575,582,478,4697.64,4309.79,4717.57,5056.29,4965.67,4250.6,"no"
"ENSMUSG00000025064",0,0.03,0.35,0,0.04,0.2,0,2,2,0,2,1,2996,5428,616,2996,5428,709,"no"
"ENSMUSG00000025066",17.68,21.08,21.99,21.77,22.95,17.13,283,351,316,337,323,183,1534,1534,1534,1534,1534,1534,"no"
"ENSMUSG00000025068",69.8,67.57,81.74,37.43,56.34,56.92,822,831,864,425,575,443,1128.75,1133,1128.43,1125.33,1112.19,1117.31,"no"
"ENSMUSG00000025069",0.07,0.2,0,0,0,0.35,1,2,0,0,0,3,1302,936.62,1095.67,1095.67,1095.67,1228,"no"
"ENSMUSG00000025075",71.64,75.09,68,93.89,80.41,72.76,1458.97,1644,1429,1889,1516,1129.96,1951.76,2017.02,2243.63,1993.86,2054.71,2229.74,"no"
"ENSMUSG00000025076",11.25,9.37,10.39,13.18,12.69,15.35,270,234,224,306,268,246,2301,2301,2301,2301,2301,2301,"no"
"ENSMUSG00000025077",5.07,4.76,3.25,4.16,3.8,4.54,158,140,117,169,145,130,2985.98,2710.72,3841.69,4027.83,4156.98,4108.18,"no"
"ENSMUSG00000025078",6.81,6.78,6.32,5.51,7.18,7.87,276,286,230,216,256,213,3885,3885,3885,3885,3885,3885,"no"
"ENSMUSG00000025081",0,0,0,0,0,0,0,0,0,0,0,0,4959.75,4959.75,4959.75,4959.75,4959.75,4959.75,"no"
"ENSMUSG00000025082",0,0,0,0,0,0,0,0,0,0,0,0,4000,4000,4000,4000,4000,4000,"no"
"ENSMUSG00000025083",0.56,0.58,0.44,0.34,0.5,0.79,8,20,12,12,16,11,1361,3160,2908,3513.15,3482,1999.25,"no"
"ENSMUSG00000025085",8.04,8.56,9.66,12.73,9.53,12.47,364,391,397,456,425,323,4337.54,4208.74,4387.82,3550.74,4862.03,3720.15,"no"
"ENSMUSG00000025086",5.05,3.98,4.27,3.96,4.85,4.65,210,171,159,161,176,128,3983.73,3958.62,3971.23,4031.44,3955.61,3953.82,"no"
"ENSMUSG00000025089",45.87,46.91,49.59,50.2,50.03,44.77,1957,2029,1869,1989,1813,1262,4089.33,3984.39,4024.01,3926.47,3949.13,4046.98,"no"
"ENSMUSG00000025090",0,0,0,0,0,0,0,0,0,0,0,0,1037,1037,1037,1037,1037,1037,"no"
"ENSMUSG00000025091",0,0,0,0,0,0,0,0,0,0,0,0,1518,1518,1518,1518,1518,1518,"no"
"ENSMUSG00000025092",0.35,0.29,0.32,0.68,0.5,0.61,21,18,17,39,26,24,5684,5684,5684,5684,5684,5684,"no"
"ENSMUSG00000025094",0.66,0.56,0.26,0.29,0.32,0.5,26,23,9,11,11,13,3754,3754,3754,3754,3754,3754,"no"
"ENSMUSG00000025102",11,13.36,14.31,18.39,12.43,15.45,60,60,64,85,60,48,522.55,413.81,477.54,458.13,526.14,445.9,"no"
"ENSMUSG00000025103",19,15.06,15.34,12.73,16.91,19.36,585,482.29,424,379,458,398,2951,2951,2951,2951,2951,2951,"no"
"ENSMUSG00000025104",0.53,0.51,0.33,0.26,0.17,0.59,28.98,29.75,15.81,15.38,9.37,21.37,5226.54,5419.88,5062.45,5838,5838,5205.65,"no"
"ENSMUSG00000025105",0.02,0,0.05,0.04,0,0.06,1,0,2,2,0,2,4604,4604,4604,4604,4604,4604,"no"
"ENSMUSG00000025127",108.21,143.06,133.69,157.9,136.96,122.07,2231,2962,2296,3015,2398,1635,1976.06,1907.52,1833.48,1892.24,1908.15,1922.95,"no"
"ENSMUSG00000025128",0,0.03,0,0,0.07,0,0,1,0,0,2,0,3136,3136,3136,3136,3136,3136,"no"
"ENSMUSG00000025129",0,0,0,0,0,0,0,0,0,0,0,0,722,722,722,722,722,722,"no"
"ENSMUSG00000025130",409.21,549.83,513.08,599.57,533.48,489.25,12006,15002,12073,14519,12681,9281,2812,2513.7,2512.16,2399.75,2590.64,2723.48,"no"
"ENSMUSG00000025132",37.84,51.95,54.76,41.94,39.63,29.8,721,1026,935,771,661,380,1826.36,1819.56,1823.01,1821.98,1818,1830.85,"no"
"ENSMUSG00000025133",9.15,8.31,7.99,6.76,8.56,8.23,305,288,239,218,251,183,3194,3194,3194,3194,3194,3194,"no"
"ENSMUSG00000025134",8.78,11.24,10.69,10.69,12.65,10.67,71.69,94.77,79.17,91.31,94,59.58,782.32,777.07,790.74,846.84,809.92,802.01,"no"
"ENSMUSG00000025135",11.24,11.77,15.38,15.67,14.72,12.12,118,126,133,122,133,79,1005.82,986.55,923.4,771.63,984.69,935.54,"no"
"ENSMUSG00000025137",270.61,366.79,330.92,445.08,383.26,343.26,3621,5185,4188,6077,4792,3068,1282.45,1302.32,1351.15,1353.09,1362.68,1283.18,"no"
"ENSMUSG00000025138",25.04,21.05,24.88,25.98,25.04,20.69,375.35,375,347.37,396.13,364.12,238.12,1436.5,1641.62,1490.46,1510.82,1584.75,1651.99,"no"
"ENSMUSG00000025139",18.11,20.23,17.56,19.43,19.09,18.54,677,693,615,635,655,462,3582.25,3155.54,3739,3239.02,3739,3578.09,"no"
"ENSMUSG00000025140",0.07,0.61,0.22,0.2,0,0.08,2,7,2,2,0,1,2865,1052.64,986,986,1140,1812,"no"
"ENSMUSG00000025141",0,0,0,0,0,0,0,0,0,0,0,0,652,652,652,652,652,652,"no"
"ENSMUSG00000025142",48.19,60.49,51.2,59.24,57.63,47.83,657,856,645,813,701,441,1306.78,1303.64,1344.97,1360.04,1325.74,1323.74,"no"
"ENSMUSG00000025144",27.76,31.12,33.1,29.23,38.05,34.11,167,190,177,172,200,135,576.52,562.54,570.93,583.06,572.92,568.16,"no"
"ENSMUSG00000025145",4.7,4.84,3.79,5.87,5.1,3.79,89,99,64,100,79,51,1814.96,1884.31,1804.58,1688.66,1688.7,1931.55,"no"
"ENSMUSG00000025147",10.49,12.7,11.46,11.62,11.23,11.43,154,194,151,165,145,112,1407,1407,1407,1407,1407,1407,"no"
"ENSMUSG00000025150",0,0,0.62,0.48,0.53,0.93,0,0,3,2,2,3,631.25,631.25,514.71,412,412,464,"no"
"ENSMUSG00000025151",34.28,43.35,41.23,44.5,41.08,35.97,922,1273,1062,1242,1010,687,2577.49,2705.29,2750.05,2766.03,2679.37,2742,"no"
"ENSMUSG00000025153",80.06,188.41,143.62,226.39,467.91,347.62,5777,9662,6604,12703,23114,15025,6915.69,4724.43,4909.11,5560.53,5383.75,6205.42,"no"
"ENSMUSG00000025154",1.29,0.97,0.87,1.15,1.14,1.16,68,53,41,58,53,41,5054,5054,5009,5009,5054,5054,"no"
"ENSMUSG00000025155",36.65,43.37,43.2,37.42,40.01,29.36,653,742,622,578,580,358,1707.77,1576.23,1537.24,1530.53,1579.97,1750.36,"no"
"ENSMUSG00000025156",34.35,35.27,39.3,36.89,40.55,40.73,568.59,631.52,604,601.1,619.71,456.8,1586.53,1649.42,1640.6,1614.61,1665.74,1610.2,"no"
"ENSMUSG00000025157",5,7.32,7.97,7.48,9.3,6.84,92.87,141.48,132.96,134.51,152,84.86,1781,1781,1781,1781,1781,1781,"no"
"ENSMUSG00000025158",5.94,8.23,7.82,8.84,8.78,5.85,129,188,153,189,173,85,2081.08,2103.84,2088.31,2119.39,2146.89,2086.91,"no"
"ENSMUSG00000025159",10.97,12.07,9.79,13.16,8.62,10.91,366.13,346.89,250.04,326.49,276,205.14,3197.88,2647.57,2725.55,2458.31,3489.16,2700.65,"no"
"ENSMUSG00000025161",0.31,0.3,0.35,0.47,0.24,0.23,4,8,6,14,4,2,1233.34,2469.33,1852,2974.36,1850,1256,"no"
"ENSMUSG00000025162",24.78,26.71,28.2,22.5,26.04,20.6,767,874,782,697,624,432,2966.45,3014.65,2960.47,3070.41,2611.16,3011.35,"no"
"ENSMUSG00000025163",0.71,0.39,0.57,0.64,1,0.26,6,4,5,6,7,1,814.5,933,933,933,760.2,543,"no"
"ENSMUSG00000025165",0.91,0.51,0.85,1.13,0.67,0.35,9,7,10,10,8,3,952.86,1253,1253,878.18,1294.67,1215,"no"
"ENSMUSG00000025169",4.03,3.5,4.11,4.96,3.55,4.33,53,47.86,48.43,63,41,38,1259,1259,1259,1259,1259,1259,"no"
"ENSMUSG00000025170",0.32,0.25,0.36,0.65,0,0,6,4,5,5,0,0,1800,1456,1500,764.12,706.25,706.25,"no"
"ENSMUSG00000025171",2.79,4.8,4.48,5.63,3.76,3.21,43,77,62,84,51,33,1478,1478,1478,1478,1478,1478,"no"
"ENSMUSG00000025172",0,0.09,0.2,0.19,0.62,0.14,0,1,2,2,6,1,1051,1051,1051,1051,1051,1051,"no"
"ENSMUSG00000025173",23.99,24.07,24.86,24.77,29.84,19,480.95,573,479.83,468,593.91,278.96,1921.48,2193.56,2060.69,1872.73,2169.1,2107.49,"no"
"ENSMUSG00000025175",6.69,7.17,6.37,8.48,8.13,7.06,101,92,78,115,94,70,1446.37,1182.79,1307.67,1343.6,1259.49,1422.94,"no"
"ENSMUSG00000025176",75.66,84.24,81.19,77.85,80.78,64.67,1195.3,1346.37,1227,1231.27,1193.45,720,1514.1,1472.4,1613.46,1567.39,1610.21,1598.48,"no"
"ENSMUSG00000025178",20.27,21.24,20.59,20.85,20.38,17.78,787,858,718,783,696,461,3722,3722,3722,3722,3722,3722,"no"
"ENSMUSG00000025184",9.85,7.34,7.23,7.27,6.74,12.33,185,171,138,152.6,153,142,1799.98,2145.58,2038.68,2080.93,2474.17,1653.04,"no"
"ENSMUSG00000025185",0.44,0.62,0.82,0.24,0.38,0.47,17,25,25,9,12,12,3689,3689,3272.06,3689,3424,3689,"no"
"ENSMUSG00000025188",2.65,3.58,3.26,4.81,2.43,2.79,82,117,94,75,73,58,2960.37,3009.24,3077.28,1545.35,3275.68,2982.11,"no"
"ENSMUSG00000025189",0.02,0.04,0.06,0.04,0.02,0.17,1,2,3,2,1,6,4990,4990,4990,4990,4990,4990,"no"
"ENSMUSG00000025190",166.19,168.37,238.8,236.26,268.52,183.01,2856,2963,3627,4053,4152,2126,1647.03,1621.25,1621.51,1700.04,1685.18,1667.87,"no"
"ENSMUSG00000025192",1.03,1.32,1.35,2.01,1.43,1.66,52.53,73.74,74.15,106.4,72.14,55,4867.44,5161.74,5862,5242.36,5502.02,4743.8,"no"
"ENSMUSG00000025193",11,8.16,8.81,10.31,10.56,9.94,124,96,97,115,117,82,1080.33,1083.31,1175.13,1105.5,1207.62,1184,"no"
"ENSMUSG00000025194",185.91,166.53,175.28,147.21,170.89,179.92,7666,8228,7157,6531,6389,4859,3952.19,4551.9,4359.27,4396.52,4074.71,3877.41,"no"
"ENSMUSG00000025195",7.06,10.54,9.7,9.6,9.54,6.57,356,553,439,468,423,221,4833,4833,4833,4833,4833,4833,"no"
"ENSMUSG00000025196",127.56,157.34,150.38,183.92,172.7,148.43,2395,3073,2528,3325,2844,1856,1799.49,1799.3,1794.71,1791.59,1794.72,1795.26,"no"
"ENSMUSG00000025197",242.38,214.18,233.42,173.26,210.52,166.51,4843,4452,4187,3348,3699,2221,1915,1915,1915,1915,1915,1915,"no"
"ENSMUSG00000025198",20.1,20.71,20.04,28.04,29.56,44.52,641,624,583,780,837,536,3055.89,2775.72,3105.81,2757.16,3085.52,1728.6,"no"
"ENSMUSG00000025199",72.23,67.84,69.82,49.83,68.67,68.2,1980,1867,1668,1347,1614,1230,2627.18,2535.53,2550.41,2678.73,2561.59,2589.45,"no"
"ENSMUSG00000025200",4.43,4.26,3.94,3.91,4.54,4.81,163,163,130,139,147,118,3525,3525,3525,3525,3525,3525,"no"
"ENSMUSG00000025201",4.35,5.8,1.14,1.83,4.25,4.64,17.37,24.1,4.09,7.07,14.94,12.38,383,383,383,383,383,383,"no"
"ENSMUSG00000025202",0.03,0,0,0.03,0.07,0.05,1.03,0,0,1.07,2.09,1.12,3421,3421,3421,3421,3421,3421,"no"
"ENSMUSG00000025203",0.94,0.97,1.28,1.48,1.21,2.12,53.25,56.67,64.94,80.72,59.82,79.66,5404,5404,5404,5404,5404,5404,"no"
"ENSMUSG00000025204",125.19,131.34,126.34,134.22,148.97,132.58,850,924,783,877,911,622,650.75,648.14,661.64,647.53,666.48,673.57,"no"
"ENSMUSG00000025207",90.69,108.6,116.36,117.91,121.87,95.9,4064,5078,4701,5128,4824,2887,4294.92,4307.73,4313.28,4309.94,4314.03,4322.08,"no"
"ENSMUSG00000025208",18.69,22.08,21.83,23.75,24.91,20.35,227,279,238,279,266,165,1164,1164,1164,1164,1164,1164,"no"
"ENSMUSG00000025209",6.58,7.58,7.14,8.39,7.95,6.64,236,283,230,291,251,159,3439,3439,3439,3439,3439,3439,"no"
"ENSMUSG00000025212",0.27,0.88,1.03,0.71,1.05,0.92,8,28,27,21,28,18,2794,2917,2794,2917,2897.48,2794,"no"
"ENSMUSG00000025213",0.14,0.14,0.48,0.3,0.49,0.46,2,2,6,4,6,5,1331,1331,1331,1331,1331,1576,"no"
"ENSMUSG00000025215",0,0,0,0,0,0,0,0,0,0,0,0,1799,1799,1799,1799,1799,1799,"no"
"ENSMUSG00000025216",0,0,0,0,0,0,0,0,0,0,0,0,2430,2430,2430,2430,2430,2430,"no"
"ENSMUSG00000025217",2.6,2.29,2.36,2.53,2.88,3.3,170,156,138,160,166,144,6274,6274,6256.04,6274,6274,6274,"no"
"ENSMUSG00000025218",2.19,2.27,2.72,3.75,2.11,2.08,52,56,58,86,44,33,2275,2275,2275,2275,2275,2275,"no"
"ENSMUSG00000025219",0,0,0,0,0,0,0,0,0,0,0,0,870.33,870.33,870.33,870.33,870.33,870.33,"no"
"ENSMUSG00000025220",17.77,14.32,13.8,11.51,13.32,13.27,922.47,773.09,643,578,608,460,4975,4975,4975,4975,4975,4975,"no"
"ENSMUSG00000025221",0,0,0,0,0,0,0,0,0,0,0,0,1201.6,1201.6,1201.6,1201.6,1201.6,1201.6,"no"
"ENSMUSG00000025223",14.95,17.21,17.98,19.54,21.48,14.68,259,329,285,298,290,151,1660.27,1760.87,1692.46,1511.33,1471.64,1477.02,"no"
"ENSMUSG00000025224",17.83,22.79,23.92,24.96,24.38,20.15,933.7,1136.39,908.73,1078,949,644,5019.75,4594.83,4056.12,4279.73,4242.68,4588.59,"no"
"ENSMUSG00000025225",1.91,5.47,8.86,3.23,3.11,2.89,63,180,252,98,87,61,3155.02,3029.09,3038.15,3005,3047.56,3027.95,"no"
"ENSMUSG00000025226",1.14,2.11,1.54,2.57,4.08,1.33,15.4,29.74,17.23,32.94,47.73,12.06,1299,1299,1194,1271.19,1274.08,1299,"no"
"ENSMUSG00000025227",1.86,2.84,1.81,2.78,2.5,2.87,40,67,36,62,47,43,2061.81,2174,2119.76,2209.64,2046.55,2150,"no"
"ENSMUSG00000025228",18.76,24.6,22.44,26.64,23.67,23.08,527,719,566,724,585,433,2693,2693,2693,2693,2693,2693,"no"
"ENSMUSG00000025229",1.92,2.85,1.53,1.33,1.18,0.1,13,28,14,13,6,1,648.02,906.2,978.52,970.8,553.5,1380,"no"
"ENSMUSG00000025231",1.36,1.49,1.13,1.69,1.91,1.8,56,68,45,74,62,50,3944.62,4214.9,4237.11,4344.42,3534,3983.93,"no"
"ENSMUSG00000025232",25.6,25.31,29.51,22.59,25.69,22.22,485,499,502,414,428,281,1816,1816,1816,1816,1816,1816,"no"
"ENSMUSG00000025234",22.35,23.27,20.01,21.05,24.33,24.07,980,931,804,704,777,622,4203.16,3686.24,4290.07,3313.88,3481.23,3709.47,"no"
"ENSMUSG00000025235",1.23,1.4,1.24,1.79,1.88,1.9,32,38,29,45,43,33,2493,2493,2493,2493,2493,2493,"no"
"ENSMUSG00000025236",7.32,7.5,8.25,7.78,7.83,8.12,185,197,187,190,174,137,2421,2421,2421,2421,2421,2421,"no"
"ENSMUSG00000025237",6.04,6.47,5.94,4.66,6.11,3.68,146,167,135,115,131,64,2317.18,2379.32,2428.15,2443.02,2336.53,2493.71,"no"
"ENSMUSG00000025239",9.42,10.96,9.65,9.85,9.94,10.23,472,571,434,477,438,342,4800,4800,4800,4800,4800,4800,"no"
"ENSMUSG00000025240",33.25,24.2,29.47,23.69,31.59,35.81,1174,889,934,809,981,844,3384,3384,3384,3384,3384,3384,"no"
"ENSMUSG00000025241",13.73,10.57,10.39,11.44,11.83,11.2,1094,876.87,742,880,829.84,596,7636.38,7643,7621.27,7622.2,7643,7643,"no"
"ENSMUSG00000025243",0,0,0,0,0.04,0,0,0,0,0,2,0,2256.17,2256.17,2256.17,2256.17,5114,2256.17,"no"
"ENSMUSG00000025245",13.39,9.27,6.31,9.78,13.16,11.09,215,162,111,136,159.4,119,1539.49,1610.85,1877.01,1378.51,1319.75,1540.27,"no"
"ENSMUSG00000025246",14.15,14.44,13.6,11.39,15.84,14.1,758,808,656,595,747,507,5133.2,5156.64,5149.22,5176.1,5139.87,5161.12,"no"
"ENSMUSG00000025255",3.67,3.09,2.81,2.8,2.61,2.35,391,365,301,267,192,222,10210.15,10869.68,11450.49,9447.05,8010.49,13573.28,"no"
"ENSMUSG00000025257",0.79,1.33,0.59,1.09,0.75,1.57,12,21,8,16,10,16,1459,1459,1459,1459,1459,1459,"no"
"ENSMUSG00000025260",137.56,123.55,137.21,138.52,162.97,177.99,1309,1226,1175,1275,1364,1131,912.01,914.2,914.27,912.14,912.17,912.26,"no"
"ENSMUSG00000025261",44.06,40.2,33.97,33.13,33.43,32.29,3669,3951.44,3152,3111.41,3160.31,2228,7980.68,9054.83,9906.56,9306.53,10302.35,9907.3,"no"
"ENSMUSG00000025262",1.66,1.17,1.18,1.49,1.33,1.43,99,68.88,62,83,66,56,5701.98,5414,5594.47,5503.03,5414,5614.52,"no"
"ENSMUSG00000025264",6.54,5.52,8.01,5.15,7.07,7.92,99.4,96.07,99.13,91.81,95.17,88.47,1457.05,1604.12,1321.85,1765.35,1467.91,1604.73,"no"
"ENSMUSG00000025265",0.39,0.34,0.33,0.07,0.23,0.29,4.6,6.93,10.87,2.19,6.83,6.53,1142.08,1888.35,3514.17,3191,3191,3191,"no"
"ENSMUSG00000025266",6.45,4.74,4.76,3.99,5.06,6.71,277,234.94,215,194,224,162,4112.97,4571.04,4820,4816.03,4820,3464.58,"no"
"ENSMUSG00000025268",3.18,2.55,2.49,2.35,2.2,4.21,58.23,50,49,41,42,42,1756.27,1805.7,2102.33,1728.82,2083.12,1433.97,"no"
"ENSMUSG00000025269",4.7,6.58,8.5,4.95,5.14,6.72,108.88,144.55,166.96,108.52,110.31,76.4,2221.02,2023.96,2096.95,2174.6,2337.09,1633.41,"no"
"ENSMUSG00000025270",75.21,66.43,76.08,76.55,94.93,97.98,1489.12,1357.45,1358.04,1476.48,1670.69,1305.6,1897.57,1882.54,1905.67,1911.38,1918.03,1913.04,"no"
"ENSMUSG00000025271",31.27,30.75,44.25,44.27,40.4,45.28,517,520,592,703,571,479,1584.36,1557.8,1428.36,1573.73,1540.18,1518.66,"no"
"ENSMUSG00000025272",1.24,1.83,1.43,0.47,0.3,0.45,28.77,50,37,14,18,13,2216.84,2515.86,2761.55,2963.33,6510,4127.5,"no"
"ENSMUSG00000025277",22.95,21.7,20.97,15.16,17.85,16.64,380,361,312,236,275,186,1587.17,1532.82,1588.07,1542.95,1679.38,1604.86,"no"
"ENSMUSG00000025278",12.98,17.02,16.42,15.28,17.47,18.81,1226,1672,1392,1396,1451,1186,9051,9051,9051,9051,9051,9051,"no"
"ENSMUSG00000025279",20.48,18.71,16.43,14.81,19.81,13.48,1004,954,723,702,854,441,4698,4698,4698,4698,4698,4698,"no"
"ENSMUSG00000025280",4.1,4.1,4.19,5.24,4.73,4.28,198,206,182,245,201,138,4634,4634,4634,4634,4634,4634,"no"
"ENSMUSG00000025283",51.06,46.24,59.99,44.93,56.55,53.86,527,522,559,454,468,367,989.19,1040.13,994.78,1001.46,901.89,978.22,"no"
"ENSMUSG00000025287",2.28,2.56,3.24,1.92,3.57,2.36,36,47,46,33,46,28,1510.08,1691,1516.06,1703,1402.7,1703,"no"
"ENSMUSG00000025288",0,0,0,0,0,0,0,0,0,0,0,0,1377,1377,1377,1377,1377,1377,"no"
"ENSMUSG00000025289",70.76,69.99,81.23,69.13,90.09,74.4,695,715,716,657,778,488,941.31,941.2,941,941.77,941.17,941.73,"no"
"ENSMUSG00000025290",500.53,429.06,418.28,351.92,454.33,417.96,2282.58,2085.77,1770.41,1632.68,1857.61,1272.8,437.08,447.85,451.88,459.76,445.61,437.21,"no"
"ENSMUSG00000025314",12.84,11.47,14.28,13.39,15.29,14.28,932.64,881.24,892,888,948,695.96,6959.47,7080.8,6666.7,6570.95,6756.54,6998.51,"no"
"ENSMUSG00000025316",9.91,12.23,10.87,12.27,14.47,15.11,216.89,236,210,225,215.88,143,2096.89,1777.49,2061.96,1817.1,1626.27,1358.95,"no"
"ENSMUSG00000025317",50.78,51.48,58.24,71.66,60.56,62.93,635.76,670.6,654.62,867.77,666.86,525.98,1200,1200,1200,1200,1200,1200,"no"
"ENSMUSG00000025318",0.05,0.03,0,0,0,0,2,1,0,0,0,0,3588,2803,2266,2266,2266,2266,"no"
"ENSMUSG00000025321",0.2,0.14,0.13,0.06,0.14,0.21,17,13,10,5,10,12,8354,8354,8354,8354,7516.67,8354,"no"
"ENSMUSG00000025323",0.92,0.74,0.71,0.87,0.65,1.2,55,46,38,50,34,48,5721,5721,5721,5721,5721,5721,"no"
"ENSMUSG00000025324",0.07,0.12,0.12,0.15,0.08,0.26,4,7,6,8,4,10,5420,5420,5420,5420,5420,5420,"no"
"ENSMUSG00000025326",14.9,11.44,13.94,9.6,12.11,12,785,627,659,489,561,422,5048,5048,5048,5048,5048,5048,"no"
"ENSMUSG00000025328",0,0,0,0,0,0,0,0,0,0,0,0,3142,3142,3142,3142,3142,3142,"no"
"ENSMUSG00000025329",0,0,0,0,0,0,0,0,0,0,0,0,3705,3705,3705,3705,3705,3705,"no"
"ENSMUSG00000025330",0,0.08,0.46,0.29,0.16,0.21,0,2,6,3,1,1,1567,2267,1393.29,1012.5,675,675,"no"
"ENSMUSG00000025332",11.55,16.1,17.53,14.3,15.74,11.02,704,907,785,836,732,386,5841.12,5189.33,4779.5,5794.63,5066.89,5030.89,"no"
"ENSMUSG00000025333",0.19,0,0,0.06,0.16,0,3,0,0,1,2,0,1537,1033.67,1033.67,1537,1392,1033.67,"no"
"ENSMUSG00000025337",33.1,40.92,40.84,31,40.14,28.88,461,605,519,441,502,253,1335.01,1361.96,1356.88,1409.66,1363.15,1257.79,"no"
"ENSMUSG00000025340",9.37,13.85,9.97,11.77,13.53,8.32,195,280,205,206,211,131,1993.87,1862.28,2195.18,1735.06,1699.23,2259.65,"no"
"ENSMUSG00000025347",367.91,454.62,456.41,593.67,566.48,485.31,4522,5813,5036,7057,6123,3982,1178,1178,1178,1178,1178,1178,"no"
"ENSMUSG00000025348",1.93,2.09,1.97,1.67,1.04,1.56,80,90,73,67,38,43,3964,3964,3964,3964,3964,3964,"no"
"ENSMUSG00000025350",19.13,13.49,22.47,19.22,14.43,13.05,143.53,120.06,155.3,159.43,134.52,69.8,719.18,820.07,737.83,821.89,1016.24,767.69,"no"
"ENSMUSG00000025351",2.12,2.82,3.27,2.45,4.63,5.08,18.8,26,26,21,36,30,848,848,848,848,848,848,"no"
"ENSMUSG00000025352",0.05,0.07,0,0.07,0.16,0,2,3,0,3,6,0,4013,4013,4013,4013,4013,4013,"no"
"ENSMUSG00000025353",17.26,22.69,19.73,21.66,20,20.31,361.29,494.09,370.78,438.42,368.12,283.82,2006,2006,2006,2006,2006,2006,"no"
"ENSMUSG00000025354",9.99,9.34,8.89,9.78,9.85,11.48,435.71,423.91,348.22,412.58,377.88,334.18,4180,4180,4180,4180,4180,4180,"no"
"ENSMUSG00000025355",19.35,20.09,18.97,19.51,22.94,23.67,678.65,732.87,597.21,661.71,707.58,554.07,3361,3361,3361,3361,3361,3361,"no"
"ENSMUSG00000025357",2.88,2.47,3.13,3.09,2.65,3.28,82.95,74,81,85.97,67,62.96,2759,2759,2759,2759,2759,2759,"no"
"ENSMUSG00000025358",5.2,4.22,4.8,4.4,5.75,5.12,126,105,102,100,121,85,2323.47,2290.17,2267.21,2252.33,2292.43,2383,"no"
"ENSMUSG00000025359",0.14,0.22,0.21,0.05,0,0.07,3.05,5,4,1.03,0,1.04,2081,2081,2081,2081,2081,2081,"no"
"ENSMUSG00000025362",317.54,320.59,324.24,287.43,325.55,260.61,1318.63,1384.99,1208.74,1154.38,1188.86,722.47,398,398,398,398,398,398,"no"
"ENSMUSG00000025364",45.52,50.51,48.91,48.98,51.2,42.47,713,883,787,831,784,480,1501.19,1610.57,1717.69,1681.48,1668.95,1622.52,"no"
"ENSMUSG00000025366",4.43,4.84,5.22,6.76,6.62,5.92,168,191,178,248,221,150,3638,3638,3638,3638,3638,3638,"no"
"ENSMUSG00000025369",20.8,28.39,26.96,26.81,27.58,22.54,1053,1497,1230,1315,1235,756,4853.11,4858.5,4871.55,4860.96,4880.04,4815.47,"no"
"ENSMUSG00000025370",0,0,0,0.03,0,0.05,0,0,0,1,0,1,3170,3170,3170,3170,3170,3170,"no"
"ENSMUSG00000025371",6.41,8.02,6.92,9.4,9.93,6.71,98,129,93,143,136,68,1465.56,1482,1435.69,1508,1492.98,1455.31,"no"
"ENSMUSG00000025372",8.21,8.36,9.27,18.38,7.37,14.39,237,245,198,433,189,215,2767.92,2698.38,2280.67,2334.31,2795.51,2144.64,"no"
"ENSMUSG00000025373",1.64,1.77,2.55,2.2,1.87,1.59,74,83,95,96,73,48,4325,4310.73,3985.13,4325,4265.29,4325,"no"
"ENSMUSG00000025374",21,32.22,30.53,27.98,36.69,28.84,197.92,322.93,283.97,276.84,306,165,903.13,923.44,992.94,980.59,909,821.27,"no"
"ENSMUSG00000025375",0.71,2.14,1.36,4.08,2.04,2.05,37,84,53,188,87,70,4978.59,3611.91,4161.89,4570.25,4651.34,4897.32,"no"
